custid,gender,age,age_cat,debtinc,card,carditems,cardspent,cardtype,creddebt,commute,commutetime,card2,card2items,card2spent,card2type,marital,homeown,hometype,cars,carown,region,ed_cat,ed_years,job_cat,employ_years,emp_cat,retire,annual_income,inc_cat
1086-BRCOIY-6YI,Female,54,50-64,6.4,Discover,11,358.68,Other,3.38,Car,33,Mastercard,2,69.9,None,Married,Own,Mobile Home,2,Own,Zone 3,Some college,15,Managerial and Professional,10,6 to 10,No,112000.00,$75 - $124
2331-DUFLLA-PEI,Female,67,>65,7.8,Discover,13,304.75,Gold,2.49,Car,24,Visa,4,93.85,None,Married,Own,Single-family,6,Own,Zone 4,Some college,15,"Precision Production, Craft, Repair",23,More than 15,No,63000.00,$50 - $74
3773-KVEXBK-FO7,Female,32,25-34,8.5,Other,4,126.59,Other,0.2,Walk,25,American Express,7,288.97,Platinum,Married,Own,Single-family,2,Own,Zone 3,High school degree,12,Managerial and Professional,4,2 to 5,No,36000.00,$25 - $49
6694-YEXWSZ-BAM,Female,30,25-34,36.5,Visa,7,71.08,Gold,2.05,Car,32,Discover,1,14.82,Platinum,Unmarried,Own,Single-family,3,Own,Zone 5,Some college,15,Sales and Office,0,Less than 2,No,29000.00,$25 - $49
4542-HCVKJI-DSZ,Female,20,18-24,4.1,Visa,15,191.6,Gold,0.2,Other non-motorized transit,30,Other,4,71.74,Gold,Married,Own,Single-family,2,Lease,Zone 4,Some college,15,"Operation, Fabrication, General Labor",0,Less than 2,No,16000.00,Under $25
7467-XDQZVE-59X,Female,40,35-49,8.5,Visa,7,272.44,None,2.23,Train/Subway,23,Mastercard,3,143.73,Gold,Married,Own,Single-family,1,Own,Zone 1,High school degree,14,"Operation, Fabrication, General Labor",13,11 to 15,No,70000.00,$50 - $74
5602-YCSALJ-QJZ,Female,19,18-24,5.1,Visa,8,185.42,None,0.33,Car,20,Other,5,107.1,Gold,Unmarried,Rent,Single-family,2,Own,Zone 1,High school degree,14,Managerial and Professional,0,Less than 2,No,16000.00,Under $25
1180-HTEUWU-TUM,Male,57,50-64,12.2,Mastercard,9,192.1,Gold,2.27,Bus,21,Visa,6,110.82,Other,Unmarried,Own,Single-family,0,N/A,Zone 2,High school degree,12,Managerial and Professional,13,11 to 15,No,44000.00,$25 - $49
0078-GEDTVZ-ZZ6,Female,23,18-24,6.3,Discover,13,389.63,None,0.78,Walk,24,Mastercard,7,185.23,Other,Unmarried,Own,Single-family,1,Own,Zone 4,College degree,18,Managerial and Professional,0,Less than 2,No,60000.00,$50 - $74
9246-ETXIBX-CV7,Female,60,50-64,5.6,Mastercard,16,268.73,None,1.04,Telecommute,19,Visa,5,102.48,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 2,Did not complete high school,10,"Operation, Fabrication, General Labor",28,More than 15,No,121000.00,$75 - $124
2340-KFPYAE-47B,Male,43,35-49,1.3,Mastercard,4,91.31,Platinum,0.25,Car,26,Visa,6,171.96,Platinum,Married,Rent,Single-family,4,Own,Zone 3,High school degree,13,Managerial and Professional,5,2 to 5,No,33000.00,$25 - $49
0585-QPITZR-2EL,Male,42,35-49,7.8,American Express,4,115.45,Other,1.43,Car,24,Discover,5,104.85,None,Married,Own,Single-family,3,Own,Zone 4,College degree,18,Managerial and Professional,8,6 to 10,No,54000.00,$50 - $74
2774-OKFIRM-K8F,Female,38,35-49,12.7,Discover,8,194.87,Platinum,2.96,Car,21,Mastercard,3,140.77,Platinum,Married,Own,Single-family,4,Own,Zone 4,Some college,15,Sales and Office,3,2 to 5,No,84000.00,$75 - $124
8915-VIIEDV-0KB,Female,29,25-34,7.6,American Express,11,265.01,Platinum,0.8,Car,21,Visa,1,21.61,Platinum,Married,Own,Mobile Home,3,Own,Zone 4,High school degree,12,Managerial and Professional,3,2 to 5,No,25000.00,$25 - $49
4811-FJBCKC-44V,Male,39,35-49,3.2,American Express,13,608.4,None,0.48,Train/Subway,31,Visa,8,215.55,Gold,Married,Own,Single-family,2,Own,Zone 4,College degree,18,Managerial and Professional,4,2 to 5,No,86000.00,$75 - $124
9786-HNOEUR-LOL,Male,62,50-64,11.9,American Express,9,289.63,None,1.93,Car,25,Discover,6,351.53,Platinum,Married,Rent,Single-family,5,Own,Zone 3,Some college,16,Sales and Office,7,6 to 10,No,59000.00,$50 - $74
1615-UWOQCF-02I,Male,42,35-49,11.3,American Express,9,317.06,Other,1.44,Car,30,Discover,6,172.77,None,Married,Own,Condominium/Townhouse,3,Own,Zone 3,High school degree,12,Managerial and Professional,5,2 to 5,No,30000.00,$25 - $49
7221-OCCOZV-GNM,Male,34,25-34,9.7,Visa,11,315.97,Other,1.41,Car,25,Discover,2,58.47,Platinum,Unmarried,Rent,Multiple-Family,3,Own,Zone 2,High school degree,13,Service,6,6 to 10,No,67000.00,$50 - $74
5144-LXEIEA-BS1,Female,67,>65,5.4,American Express,11,239.9,None,0.22,Car,23,Visa,3,70.97,Platinum,Unmarried,Rent,Multiple-Family,4,Own,Zone 2,Some college,15,Managerial and Professional,20,More than 15,Yes,11000.00,Under $25
3168-XCWOBR-AAY,Male,77,>65,17.4,Mastercard,14,413.79,Other,0.81,Walk,32,Visa,3,72.02,None,Married,Rent,Multiple-Family,1,Own,Zone 4,College degree,18,Service,37,More than 15,Yes,86000.00,$75 - $124
4540-LYNWIF-D4Q,Female,25,25-34,12.8,Mastercard,7,183.48,Platinum,1.64,Bus,31,Discover,7,201.88,Gold,Unmarried,Own,Single-family,1,Own,Zone 3,Some college,15,Service,1,Less than 2,No,32000.00,$25 - $49
3669-OLWGCO-UCB,Female,35,35-49,12.9,American Express,11,358.25,Platinum,1.7,Car,21,Discover,2,58.85,Platinum,Unmarried,Own,Single-family,1,Own,Zone 2,College degree,18,"Precision Production, Craft, Repair",7,6 to 10,No,51000.00,$50 - $74
3390-EDOEGF-92Z,Male,64,50-64,17.5,American Express,14,401.28,Other,4.52,Car,21,Discover,7,145.05,Platinum,Unmarried,Own,Single-family,2,Own,Zone 1,College degree,17,Sales and Office,10,6 to 10,No,61000.00,$50 - $74
0794-CXDAKY-EXK,Male,33,25-34,4.4,Discover,13,328.49,Other,0.76,Walk,26,Visa,6,199.13,Gold,Married,Own,Single-family,1,Own,Zone 3,College degree,19,Sales and Office,2,2 to 5,No,44000.00,$25 - $49
2868-EXFXBT-1O7,Female,28,25-34,26,Mastercard,13,732.1,Platinum,1.89,Car,22,American Express,7,392.23,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 1,College degree,19,Managerial and Professional,2,2 to 5,No,30000.00,$25 - $49
0712-NEFFGC-V5H,Female,70,>65,13.8,Visa,5,171.12,None,5.12,Car,29,Mastercard,5,145.79,Platinum,Married,Own,Condominium/Townhouse,3,Own,Zone 1,High school degree,13,Agricultural and Natural Resources,42,More than 15,Yes,49000.00,$25 - $49
8454-PPQHVD-6TF,Male,23,18-24,22.6,Discover,15,971.65,Platinum,5.55,Car,22,Mastercard,8,432.16,Other,Unmarried,Own,Condominium/Townhouse,3,Own,Zone 4,College degree,18,Managerial and Professional,0,Less than 2,No,90000.00,$75 - $124
4598-IIQRSL-BW6,Male,67,>65,10.3,Mastercard,15,230.18,Other,0.9,Bus,13,Visa,9,210.19,None,Married,Own,Single-family,0,N/A,Zone 3,Some college,16,Managerial and Professional,11,11 to 15,No,26000.00,$25 - $49
6628-YRFILT-9TG,Male,42,35-49,21.9,Mastercard,6,112.73,Other,4.22,Train/Subway,27,Other,3,67.79,None,Married,Own,Condominium/Townhouse,0,N/A,Zone 3,Did not complete high school,6,Service,16,More than 15,No,45000.00,$25 - $49
5351-CLYUWC-N1M,Female,77,>65,8.3,Visa,6,117.21,Platinum,0.38,Bus,19,Mastercard,7,132.97,None,Unmarried,Own,Single-family,1,Lease,Zone 5,Post-undergraduate degree,20,Managerial and Professional,15,11 to 15,Yes,13000.00,Under $25
1022-EYKYXK-V91,Male,55,50-64,17.1,Mastercard,9,177.61,Gold,5.85,Walk,20,Visa,2,49.48,Other,Married,Rent,Multiple-Family,1,Own,Zone 3,High school degree,14,Agricultural and Natural Resources,13,11 to 15,No,54000.00,$50 - $74
3198-GUVUXE-PTD,Female,62,50-64,13.5,American Express,6,187.88,None,4.09,Car,17,Discover,3,113.86,Platinum,Married,Own,Condominium/Townhouse,2,Lease,Zone 1,Some college,16,Managerial and Professional,14,11 to 15,No,74000.00,$50 - $74
7834-WAHXLL-K53,Male,66,>65,4.7,Mastercard,15,358.92,Gold,0.88,Walk,36,Discover,6,85.01,Other,Married,Own,Single-family,1,Own,Zone 3,College degree,17,Sales and Office,5,2 to 5,No,66000.00,$50 - $74
4946-CFCJVA-ZA8,Female,45,35-49,11,Visa,14,319.52,Other,0.11,Walk,18,Mastercard,2,21.52,None,Married,Own,Condominium/Townhouse,1,Own,Zone 4,College degree,18,Sales and Office,2,2 to 5,No,32000.00,$25 - $49
2130-KSZGWS-HXZ,Female,66,>65,12.2,American Express,14,522.79,Platinum,0.55,Bus,19,Discover,8,313.35,None,Unmarried,Own,Single-family,1,Lease,Zone 3,College degree,18,Sales and Office,5,2 to 5,No,34000.00,$25 - $49
1475-AZQBFN-ROY,Male,54,50-64,10.8,American Express,20,1019.66,Other,7.5,Car,28,Discover,7,357.53,Other,Married,Own,Single-family,3,Own,Zone 1,College degree,19,"Operation, Fabrication, General Labor",21,More than 15,No,126000.00,$125+
1640-XRQRDK-L4U,Female,50,50-64,5.9,Mastercard,4,121.43,Other,0.89,Train/Subway,29,Discover,4,92.49,Platinum,Married,Own,Single-family,2,Own,Zone 1,High school degree,12,Service,16,More than 15,No,51000.00,$50 - $74
1504-YOFFPM-NA3,Male,61,50-64,11.2,Mastercard,18,360.89,Gold,0.87,Bus,28,Visa,5,90.4,Gold,Married,Own,Single-family,1,Own,Zone 2,Did not complete high school,7,"Operation, Fabrication, General Labor",27,More than 15,Yes,15000.00,Under $25
9902-FFHARK-5F9,Female,70,>65,1.3,American Express,12,1509.65,Platinum,0.53,Walk,28,Discover,8,617.18,None,Unmarried,Own,Single-family,0,N/A,Zone 2,College degree,17,Service,26,More than 15,Yes,88000.00,$75 - $124
2313-EAWKKA-ZK2,Female,39,35-49,8.2,Other,10,511.54,None,1.56,Car,25,American Express,3,183.9,None,Married,Rent,Multiple-Family,2,Own,Zone 4,High school degree,12,Sales and Office,1,Less than 2,No,46000.00,$25 - $49
5074-ETOUDI-JWP,Female,25,25-34,19.2,Discover,8,160.63,Gold,0.81,Car,20,Visa,3,36.38,None,Unmarried,Own,Condominium/Townhouse,5,Lease,Zone 3,College degree,18,Sales and Office,0,Less than 2,No,12000.00,Under $25
9567-VLTAUK-6AK,Female,38,35-49,7.8,Discover,14,248.93,None,0.91,Bus,23,Mastercard,6,140.41,None,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 3,College degree,18,Sales and Office,1,Less than 2,No,33000.00,$25 - $49
2596-OOIKZX-J6D,Male,48,35-49,10.8,American Express,10,310.07,Platinum,2.16,Car,20,Discover,2,134.85,Other,Unmarried,Own,Single-family,4,Lease,Zone 2,Some college,15,Managerial and Professional,4,2 to 5,No,56000.00,$50 - $74
3068-HAODCG-N6S,Male,53,50-64,17.6,Discover,8,311.46,Gold,13.69,Car,23,American Express,3,306.44,None,Unmarried,Own,Single-family,4,Own,Zone 4,Some college,15,Agricultural and Natural Resources,26,More than 15,No,196000.00,$125+
8681-HUTWSX-QII,Female,79,>65,5.9,Mastercard,18,498.77,None,0.19,Walk,24,Visa,11,428.42,Other,Unmarried,Own,Single-family,1,Lease,Zone 1,College degree,18,"Operation, Fabrication, General Labor",36,More than 15,Yes,17000.00,Under $25
4916-PVMNIC-ADH,Male,73,>65,5.7,Visa,4,59.12,Other,0.26,Bus,19,Mastercard,5,95.88,Other,Married,Own,Single-family,0,N/A,Zone 2,Did not complete high school,9,Sales and Office,9,6 to 10,No,35000.00,$25 - $49
9721-QZEIAO-LAJ,Female,79,>65,5.4,Visa,9,132.54,Gold,0.24,Telecommute,17,Discover,8,172.04,None,Unmarried,Rent,Condominium/Townhouse,1,Lease,Zone 1,Did not complete high school,9,Managerial and Professional,9,6 to 10,Yes,15000.00,Under $25
7031-EHIFFQ-YE0,Male,72,>65,10.1,Visa,9,200.19,Platinum,1.32,Bus,34,Discover,2,50.34,Platinum,Unmarried,Rent,Multiple-Family,0,N/A,Zone 2,Some college,15,"Precision Production, Craft, Repair",26,More than 15,Yes,24000.00,Under $25
4987-QHPGRQ-73G,Female,24,18-24,5.2,Mastercard,4,75.05,Platinum,0.04,Walk,33,Discover,0,0,Other,Married,Rent,Multiple-Family,1,Own,Zone 1,College degree,19,Managerial and Professional,0,Less than 2,No,23000.00,Under $25
1347-ISWUYP-N5R,Female,57,50-64,12.7,American Express,16,501.22,Other,0.19,Car,22,Discover,3,110.04,Platinum,Unmarried,Own,Multiple-Family,4,Own,Zone 3,College degree,17,"Operation, Fabrication, General Labor",17,More than 15,Yes,12000.00,Under $25
9557-IITNLK-1NR,Male,18,18-24,6.4,American Express,11,253.74,None,0.06,Bus,24,Discover,4,70.01,Platinum,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 4,High school degree,13,Managerial and Professional,0,Less than 2,No,12000.00,Under $25
6008-NXRCHQ-9JK,Male,54,50-64,14.3,Mastercard,9,372.56,Gold,3.85,Car,19,American Express,9,318.74,Other,Married,Own,Multiple-Family,2,Own,Zone 5,High school degree,12,"Operation, Fabrication, General Labor",23,More than 15,No,245000.00,$125+
3292-RFWSBY-H6M,Male,56,50-64,8.7,American Express,9,376.53,Other,3.16,Bus,19,Discover,3,124.09,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 2,High school degree,12,"Operation, Fabrication, General Labor",24,More than 15,No,81000.00,$75 - $124
1812-VKFXGI-XWL,Male,49,35-49,4.2,Discover,12,265.35,Gold,1.36,Bus,34,Visa,6,78.27,Other,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 5,High school degree,14,Managerial and Professional,12,11 to 15,No,80000.00,$75 - $124
1118-EXWGFB-XTO,Female,31,25-34,7.3,Discover,12,1224.42,Platinum,0.64,Train/Subway,32,American Express,3,271.36,Platinum,Unmarried,Own,Condominium/Townhouse,0,N/A,Zone 1,College degree,19,Sales and Office,0,Less than 2,No,95000.00,$75 - $124
3486-CQDJIM-ROR,Female,39,35-49,7.4,Mastercard,12,261.34,None,0.89,Walk,36,Visa,3,63.02,None,Married,Own,Mobile Home,1,Own,Zone 5,Did not complete high school,10,Managerial and Professional,8,6 to 10,No,40000.00,$25 - $49
5066-SABOKJ-7PQ,Female,42,35-49,8.4,Visa,10,313.62,Other,1.41,Walk,30,Discover,11,424.75,Gold,Married,Own,Single-family,0,N/A,Zone 5,Some college,16,Sales and Office,3,2 to 5,No,71000.00,$50 - $74
1125-KGTXJG-IFM,Male,53,50-64,8,Visa,13,200.37,Other,2.54,Bicycle,28,Mastercard,3,58.19,Other,Unmarried,Own,Single-family,1,Own,Zone 3,Did not complete high school,11,Sales and Office,6,6 to 10,No,48000.00,$25 - $49
6586-WQYXJE-7E1,Male,22,18-24,11.4,Discover,16,411.3,Platinum,0.52,Car,23,American Express,3,63.62,None,Unmarried,Own,Multiple-Family,4,Own,Zone 5,College degree,17,Agricultural and Natural Resources,0,Less than 2,No,28000.00,$25 - $49
8786-NITSCF-MFC,Female,21,18-24,6.9,Mastercard,19,518.13,Gold,0.69,Walk,26,Discover,10,301.31,Other,Unmarried,Own,Mobile Home,1,Own,Zone 3,Some college,16,Sales and Office,0,Less than 2,No,19000.00,Under $25
8440-YRNTCE-8D1,Female,21,18-24,9.1,Mastercard,6,121.47,Platinum,0.95,Train/Subway,32,Visa,7,136.52,Gold,Unmarried,Own,Single-family,2,Lease,Zone 4,High school degree,13,Sales and Office,0,Less than 2,No,17000.00,Under $25
3775-KNAVJV-X9Y,Male,18,18-24,15,Mastercard,12,257.97,Platinum,1.14,Car,27,Discover,1,21.63,Platinum,Married,Own,Single-family,2,Own,Zone 1,High school degree,13,"Precision Production, Craft, Repair",0,Less than 2,No,23000.00,Under $25
1432-DOEIXA-PSE,Male,72,>65,10.2,American Express,5,121.49,Platinum,1.32,Bus,24,Mastercard,6,127.69,None,Unmarried,Rent,Multiple-Family,1,Own,Zone 5,Post-undergraduate degree,20,Sales and Office,2,2 to 5,Yes,27000.00,$25 - $49
7021-YMULAX-N03,Male,73,>65,15.2,Discover,8,292.77,Other,3.46,Car,29,Visa,5,147.81,None,Married,Own,Single-family,3,Own,Zone 4,High school degree,12,"Operation, Fabrication, General Labor",32,More than 15,Yes,39000.00,$25 - $49
3942-OUUULP-XXE,Male,79,>65,4.8,American Express,6,158,Gold,0.22,Walk,32,Visa,3,71.49,Other,Married,Own,Condominium/Townhouse,1,Lease,Zone 1,College degree,18,Service,24,More than 15,Yes,14000.00,Under $25
1641-ULXCSK-CE2,Male,19,18-24,7.1,Mastercard,11,135.75,None,0.5,Walk,29,Discover,2,30.68,Platinum,Unmarried,Own,Multiple-Family,0,N/A,Zone 5,High school degree,14,Sales and Office,0,Less than 2,No,18000.00,Under $25
5771-VOGVYT-1WW,Male,52,50-64,12.9,Visa,11,208.29,Platinum,1.12,Car,24,American Express,7,162.69,Platinum,Married,Own,Single-family,2,Own,Zone 1,Did not complete high school,10,Sales and Office,4,2 to 5,No,32000.00,$25 - $49
7814-CHEXRD-J9D,Female,57,50-64,7,Mastercard,4,73.81,Gold,1.37,Car,18,Discover,0,0,Gold,Married,Rent,Multiple-Family,3,Own,Zone 3,High school degree,12,Agricultural and Natural Resources,29,More than 15,No,88000.00,$75 - $124
8051-FTKJQV-NM8,Female,69,>65,2.1,Discover,7,113.17,Platinum,0.09,Car,24,Visa,1,15.83,Platinum,Married,Own,Single-family,6,Own,Zone 1,Post-undergraduate degree,21,Sales and Office,3,2 to 5,Yes,14000.00,Under $25
1078-HIOXPG-1WS,Male,24,18-24,17.4,Discover,7,213.7,Gold,1.8,Car,24,Other,7,257.1,None,Unmarried,Rent,Single-family,5,Own,Zone 3,College degree,19,Managerial and Professional,0,Less than 2,No,26000.00,$25 - $49
3630-KZJKVU-3J9,Male,77,>65,8,Discover,9,292.37,Platinum,0.99,Car,29,American Express,3,76.36,None,Unmarried,Own,Single-family,3,Own,Zone 5,College degree,17,Agricultural and Natural Resources,42,More than 15,Yes,160000.00,$125+
5272-KKAGMV-6IX,Female,27,25-34,6.2,American Express,12,341.73,None,0.48,Other non-motorized transit,29,Mastercard,4,106.34,Other,Married,Own,Single-family,0,N/A,Zone 5,High school degree,14,Sales and Office,1,Less than 2,No,26000.00,$25 - $49
3736-RXJUQP-APP,Male,70,>65,5,Discover,8,179.35,Gold,0.67,Car,33,Mastercard,2,51.05,Platinum,Unmarried,Own,Multiple-Family,2,Own,Zone 5,Post-undergraduate degree,20,Sales and Office,6,6 to 10,No,61000.00,$50 - $74
7941-KOWOLC-7SZ,Male,76,>65,5.4,Mastercard,9,198.31,Other,0.23,Car,19,American Express,4,100.84,None,Unmarried,Rent,Multiple-Family,3,Lease,Zone 2,Did not complete high school,10,Sales and Office,11,11 to 15,Yes,12000.00,Under $25
9919-ORWGSQ-8Q6,Male,67,>65,12.8,Discover,11,223.24,Platinum,8.7,Car,23,Visa,0,0,Platinum,Married,Own,Single-family,5,Own,Zone 2,Some college,16,"Operation, Fabrication, General Labor",21,More than 15,No,137000.00,$125+
6600-BPDMLW-1FO,Female,30,25-34,14.4,Visa,11,267.72,Other,1.32,Bus,31,Mastercard,8,240.51,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 1,Did not complete high school,11,"Precision Production, Craft, Repair",6,6 to 10,No,29000.00,$25 - $49
0789-GDBZRI-CJK,Female,37,35-49,11.4,Mastercard,13,264.39,None,1.68,Bus,18,Other,9,175.57,Other,Married,Own,Single-family,0,N/A,Zone 1,High school degree,14,Managerial and Professional,5,2 to 5,No,38000.00,$25 - $49
1517-HJZLKK-037,Female,24,18-24,22.3,Visa,11,135.91,Gold,0.7,Car,23,Mastercard,2,22.52,Gold,Married,Rent,Single-family,3,Own,Zone 2,Did not complete high school,9,Sales and Office,0,Less than 2,No,31000.00,$25 - $49
0190-RBMWAK-BEZ,Female,34,25-34,5.1,Discover,3,56.06,Gold,0.33,Carpool,28,Mastercard,3,62.5,Platinum,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 4,High school degree,14,Sales and Office,0,Less than 2,No,19000.00,Under $25
6682-DJOWUB-QAO,Male,57,50-64,11.9,Discover,10,317.44,Other,4.87,Car,14,American Express,5,71.27,Other,Unmarried,Own,Mobile Home,2,Own,Zone 1,Some college,15,Managerial and Professional,16,More than 15,No,105000.00,$75 - $124
8046-XNHBTO-HVJ,Female,43,35-49,21.3,Discover,11,199.05,Other,5.1,Car,30,Mastercard,2,16.65,Other,Married,Own,Single-family,4,Lease,Zone 2,Post-undergraduate degree,21,Sales and Office,2,2 to 5,No,69000.00,$50 - $74
3453-LCVWGA-OJM,Male,24,18-24,7,Visa,12,236.04,Gold,0.65,Carpool,18,Mastercard,4,77.63,None,Unmarried,Own,Mobile Home,1,Own,Zone 3,High school degree,13,Sales and Office,0,Less than 2,No,24000.00,Under $25
2814-PSLRXB-EN1,Male,44,35-49,9.9,Discover,6,120.78,Platinum,16.63,Carpool,26,Mastercard,5,94.67,Gold,Unmarried,Rent,Single-family,3,Own,Zone 1,College degree,19,Sales and Office,8,6 to 10,No,184000.00,$125+
5468-WESAXW-0QR,Female,58,50-64,20.4,Visa,11,387.01,Platinum,6.63,Car,21,Discover,10,205.64,Gold,Unmarried,Own,Single-family,2,Own,Zone 2,College degree,18,Sales and Office,0,Less than 2,No,145000.00,$125+
6254-ORDXSZ-8K4,Male,24,18-24,7.6,Discover,9,231.65,None,0.31,Car,23,Mastercard,7,151.4,Gold,Unmarried,Own,Multiple-Family,3,Lease,Zone 5,College degree,17,Sales and Office,0,Less than 2,No,28000.00,$25 - $49
0984-YAUVVA-UVC,Female,29,25-34,32.3,American Express,18,558.87,Platinum,2.29,Car,32,Discover,7,232.5,Platinum,Unmarried,Rent,Multiple-Family,3,Own,Zone 2,High school degree,13,"Operation, Fabrication, General Labor",8,6 to 10,No,43000.00,$25 - $49
0806-LOUUEI-0C6,Female,66,>65,8,Visa,8,319.9,None,0.85,Car,24,Mastercard,8,185.21,Other,Unmarried,Own,Single-family,2,Own,Zone 1,High school degree,12,Sales and Office,12,11 to 15,No,72000.00,$50 - $74
3123-VKWJLL-2TU,Female,31,25-34,18.4,Visa,4,62.48,Platinum,2.14,Other non-motorized transit,27,Discover,6,73.14,Gold,Married,Rent,Multiple-Family,0,N/A,Zone 2,College degree,17,Sales and Office,1,Less than 2,No,25000.00,$25 - $49
9295-PQTLNQ-F0C,Female,63,50-64,17.5,Visa,7,243.18,Other,2.38,Train/Subway,17,Discover,7,213.32,Gold,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 2,College degree,18,Managerial and Professional,4,2 to 5,No,31000.00,$25 - $49
0722-BDGLEG-FMX,Male,36,35-49,7,Discover,13,292.68,Other,1.07,Car,32,Mastercard,4,103.15,Platinum,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 2,College degree,18,Sales and Office,0,Less than 2,No,54000.00,$50 - $74
2245-NOLUMH-OAV,Female,38,35-49,10.3,Mastercard,13,267.75,Gold,1.63,Car,31,Visa,3,68.12,Other,Unmarried,Rent,Multiple-Family,2,Own,Zone 5,Post-undergraduate degree,21,Managerial and Professional,2,2 to 5,No,45000.00,$25 - $49
1850-HOJOTE-YFU,Female,39,35-49,6.2,Visa,13,211.33,None,0.78,Car,34,Mastercard,4,77.2,None,Unmarried,Own,Single-family,2,Own,Zone 2,Did not complete high school,11,Sales and Office,6,6 to 10,No,32000.00,$25 - $49
3648-TXOABB-ZA7,Male,65,>65,22.1,Discover,5,107.66,Platinum,4.94,Train/Subway,37,American Express,4,111.28,Platinum,Unmarried,Rent,Multiple-Family,1,Lease,Zone 5,High school degree,14,Managerial and Professional,6,6 to 10,No,38000.00,$25 - $49
5875-ORJAJU-ZSC,Female,43,35-49,9.3,Discover,12,567.92,Gold,0.13,Car,21,American Express,6,216.68,Platinum,Unmarried,Own,Single-family,3,Own,Zone 5,Post-undergraduate degree,20,Sales and Office,3,2 to 5,No,59000.00,$50 - $74
3738-ULGWLB-38V,Female,59,50-64,5.5,American Express,12,737.01,Gold,0.38,Car,27,Visa,12,768.61,Gold,Married,Own,Condominium/Townhouse,3,Own,Zone 3,Some college,16,Sales and Office,6,6 to 10,No,34000.00,$25 - $49
3754-GLRBWO-YG5,Male,74,>65,12.2,Mastercard,15,399.57,None,2.63,Car,28,Discover,0,0,None,Married,Own,Single-family,3,Own,Zone 3,Some college,16,"Operation, Fabrication, General Labor",42,More than 15,Yes,70000.00,$50 - $74
1526-KASRKM-6H1,Female,59,50-64,8.6,Discover,12,388.44,Gold,0.21,Bus,22,Mastercard,4,97.46,Other,Married,Own,Single-family,1,Own,Zone 3,Did not complete high school,11,Sales and Office,19,More than 15,Yes,32000.00,$25 - $49
2348-RNDJLS-926,Female,24,18-24,6.5,Visa,7,307.18,Platinum,0.32,Car,32,Mastercard,4,176.65,Gold,Married,Rent,Multiple-Family,2,Own,Zone 2,High school degree,12,Service,3,2 to 5,No,14000.00,Under $25
0723-KWYDBK-UBB,Female,77,>65,16,American Express,11,274.4,None,0.63,Carpool,20,Visa,0,0,Other,Unmarried,Rent,Multiple-Family,0,N/A,Zone 4,Some college,16,Sales and Office,14,11 to 15,Yes,15000.00,Under $25
1610-MRXMMY-AXH,Female,24,18-24,3.9,Mastercard,9,542.48,Gold,0.46,Car,27,Visa,7,411.59,Platinum,Unmarried,Rent,Single-family,4,Own,Zone 1,Did not complete high school,10,Service,5,2 to 5,No,30000.00,$25 - $49
5345-HZTBJZ-TF5,Female,25,25-34,7,Visa,10,211.15,Other,0.51,Train/Subway,30,Mastercard,6,127.53,Gold,Married,Rent,Multiple-Family,1,Own,Zone 5,High school degree,13,Sales and Office,1,Less than 2,No,25000.00,$25 - $49
0961-BDRLOZ-I4R,Female,28,25-34,13.7,Discover,16,392.17,Other,0.55,Car,22,American Express,7,110.97,Other,Married,Own,Mobile Home,5,Own,Zone 3,Post-undergraduate degree,20,Service,1,Less than 2,No,15000.00,Under $25
2787-CGKARQ-KBN,Female,18,18-24,2.8,Mastercard,9,138.8,None,0.2,Train/Subway,36,Visa,3,55.31,Other,Married,Own,Single-family,0,N/A,Zone 4,High school degree,13,"Operation, Fabrication, General Labor",0,Less than 2,No,16000.00,Under $25
4291-JIAHKN-OGM,Female,52,50-64,14.6,Visa,13,468.44,None,1.26,Car,29,Mastercard,2,41.11,Platinum,Married,Own,Condominium/Townhouse,2,Own,Zone 5,High school degree,12,"Operation, Fabrication, General Labor",6,6 to 10,No,36000.00,$25 - $49
9086-UBHHMA-7A9,Female,35,35-49,6.3,Mastercard,2,18.26,Other,0.18,Car,25,Discover,1,11.79,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 3,Did not complete high school,7,Managerial and Professional,2,2 to 5,No,16000.00,Under $25
9524-GQVEQL-IUA,Female,64,50-64,2.5,Mastercard,13,177.9,Other,0.22,Car,26,Visa,2,40.68,Gold,Unmarried,Own,Multiple-Family,3,Lease,Zone 3,Some college,16,"Operation, Fabrication, General Labor",18,More than 15,Yes,24000.00,Under $25
4302-ARCAIZ-3KD,Male,32,25-34,7.2,Mastercard,11,257.53,None,0.98,Car,36,American Express,8,167.58,None,Married,Own,Single-family,3,Own,Zone 1,Did not complete high school,11,Managerial and Professional,8,6 to 10,No,21000.00,Under $25
